#Index RA DEC WINGS Cluster SB x0 y0 sma eps pa 
3 69.2647 -22.582455 J043703.53-223456.8 A500 20.526 1697.0 421.0 10.0 0.049000025 110.9
4 69.47091 -22.561693 J043753.02-223342.1 A500 18.88 4908.0 778.0 10.0 0.045000017 19.3
5 70.04387 -22.555922 J044010.53-223321.3 A500 20.826 13834.0 872.0 10.0 0.34399998 37.2
9 69.26938 -22.51757 J043704.64-223103.1 A500 19.795 1767.0 1516.0 10.0 0.36 13.8
10 69.39598 -22.512062 J043735.03-223043.2 A500 19.064 3740.0 1613.0 10.0 0.08200002 65.5
13 69.53449 -22.483206 J043808.27-222859.6 A500 20.357 5897.0 2103.0 10.0 0.29900002 61.5
14 69.82394 -22.466757 J043917.73-222800.0 A500 21.172 10409.0 2382.0 10.0 0.35799998 156.3
16 69.16374 -22.461153 J043639.30-222740.1 A500 20.345 118.0 2462.0 10.0 0.029999971 15.0
17 69.20212 -22.435701 J043648.51-222608.5 A500 20.601 714.0 2893.0 10.0 0.43199998 144.3
18 69.50395 -22.416609 J043800.95-222459.7 A500 20.902 5420.0 3226.0 10.0 0.536 155.9
19 69.18594 -22.406113 J043644.63-222422.0 A500 20.869 461.0 3392.0 10.0 0.11199999 59.8
21 69.21708 -22.396273 J043652.10-222346.6 A500 20.949 946.0 3559.0 10.0 0.362 166.9
24 69.160065 -22.374374 J043638.41-222227.7 A500 20.213 55.0 3925.0 10.0 0.272 148.8
26 69.449356 -22.369028 J043747.82-222208.6 A500 21.192 4567.0 4028.0 10.0 0.41500002 58.4
27 69.19653 -22.332489 J043647.17-221957.0 A500 19.241 622.0 4634.0 10.0 0.375 160.4
29 69.39648 -22.322056 J043735.14-221919.4 A500 20.045 3741.0 4818.0 10.0 0.10699999 76.8
31 69.79678 -22.32516 J043911.23-221930.9 A500 20.076 9987.0 4770.0 10.0 0.18699998 136.3
32 69.499596 -22.324158 J043759.88-221926.7 A500 20.797 5350.0 4786.0 10.0 0.36699998 14.3
34 69.85822 -22.322155 J043925.96-221919.6 A500 19.783 10946.0 4820.0 10.0 0.10100001 62.6
38 69.78592 -22.31052 J043908.61-221838.0 A500 21.399 9818.0 5017.0 10.0 0.17799997 42.8
39 69.53795 -22.309427 J043809.07-221833.6 A500 21.176 5948.0 5035.0 10.0 0.037 92.6
42 69.828224 -22.29788 J043918.76-221752.2 A500 21.145 10478.0 5230.0 10.0 0.03399998 44.0
43 69.7784 -22.294489 J043906.80-221740.2 A500 20.843 9700.0 5288.0 10.0 0.47000003 169.2
45 69.794945 -22.287283 J043910.72-221714.8 A500 21.406 9959.0 5409.0 10.0 0.181 58.8
46 69.35665 -22.281649 J043725.60-221654.1 A500 20.517 3118.0 5499.0 10.0 0.08099997 127.0
47 69.622154 -22.277145 J043829.29-221637.6 A500 21.133 7262.0 5580.0 10.0 0.333 93.9
#48 69.77472 -22.26888 J043905.94-221607.9 A500 20.962 9643.0 5720.0 10.0 0.120000005 3.8
51 70.06807 -22.26087 J044016.31-221538.8 A500 20.984 14223.0 5848.0 10.0 0.467 95.4
52 69.451485 -22.252743 J043748.34-221509.8 A500 20.487 4597.0 5989.0 10.0 0.17799997 50.5
53 69.58155 -22.254282 J043819.56-221515.3 A500 20.819 6628.0 5966.0 10.0 0.16000003 107.6
